State and County,1989,1979,1969,1959
"Lamar County, GA","10,198","8,811","6,565","4,658"
"Lanier County, GA","8,319","6,833","5,778","3,029"
"Laurens County, GA","10,423","8,943","6,581","3,838"
"Lee County, GA","11,106","9,813","5,835","2,798"
"Liberty County, GA","8,986","8,228","6,326","4,097"
"Lincoln County, GA","9,628","8,968","5,863","2,708"
"Long County, GA","8,815","7,562","5,130","2,715"
"Lowndes County, GA","10,919","9,399","6,984","5,027"
"Lumpkin County, GA","10,814","9,022","6,065","3,657"
"McDuffie County, GA","10,274","8,657","6,814","4,054"
"McIntosh County, GA","8,878","7,138","5,442","3,147"
"Macon County, GA","8,101","7,215","5,136","2,939"
"Madison County, GA","10,997","8,824","6,581","3,324"
"Marion County, GA","9,779","6,590","5,190","2,441"
"Meriwether County, GA","8,660","8,223","5,781","3,657"
"Miller County, GA","11,096","7,636","5,029","2,825"
"Mitchell County, GA","8,327","7,728","5,583","3,481"
"Monroe County, GA","11,348","9,029","7,132","4,054"
"Montgomery County, GA","9,283","7,341","5,533","3,406"
"Morgan County, GA","10,713","8,187","5,353","3,316"
"Murray County, GA","10,575","9,350","7,191","3,740"
"Muscogee County, GA","11,949","10,128","8,381","5,968"
"Newton County, GA","11,641","9,483","7,342","4,438"
"Oconee County, GA","15,164","11,240","6,848","3,696"
"Oglethorpe County, GA","10,064","8,455","5,479","2,853"
"Paulding County, GA","12,322","9,468","6,936","4,701"
"Peach County, GA","10,989","8,943","6,817","4,101"
"Pickens County, GA","11,442","9,173","6,943","4,057"
"Pierce County, GA","9,858","7,515","5,945","3,398"
"Pike County, GA","11,593","9,432","5,910","3,080"
"Polk County, GA","10,184","8,926","7,021","4,572"
"Pulaski County, GA","11,265","8,484","6,562","4,034"
"Putnam County, GA","11,951","9,084","7,305","3,795"
"Quitman County, GA","8,820","5,758","3,616","2,366"
"Rabun County, GA","11,161","9,164","6,401","3,543"
"Randolph County, GA","6,991","7,824","4,664","3,347"
"Richmond County, GA","11,799","9,841","8,060","5,580"
"Rockdale County, GA","15,710","11,958","8,095","4,434"
"Schley County, GA","9,747","7,567","5,486","3,018"
"Screven County, GA","9,269","7,541","5,183","2,919"
"Seminole County, GA","9,270","7,777","6,213","2,931"
"Spalding County, GA","11,073","9,649","7,811","5,635"
"Stephens County, GA","10,531","9,256","7,239","4,709"
"Stewart County, GA","7,772","5,893","4,441","2,971"
"Sumter County, GA","9,600","8,380","6,477","4,034"
"Talbot County, GA","8,728","8,016","5,221","2,653"
"Taliaferro County, GA","7,624","6,842","4,718","2,676"
"Tattnall County, GA","9,286","6,887","4,891","2,763"
"Taylor County, GA","9,182","8,864","5,102","2,865"
"Telfair County, GA","8,452","7,370","5,391","2,939"
"Terrell County, GA","8,524","7,229","5,177","2,927"
"Thomas County, GA","10,293","8,660","6,464","4,481"
"Tift County, GA","10,612","8,812","6,826","3,959"
"Toombs County, GA","9,775","8,057","6,121","3,814"
"Towns County, GA","10,777","8,556","5,561","2,872"
"Treutlen County, GA","7,865","8,110","5,209","2,884"
"Troup County, GA","11,581","9,563","7,286","4,713"
"Turner County, GA","7,953","7,869","5,608","3,147"
"Twiggs County, GA","8,510","7,472","4,532","2,971"
"Union County, GA","10,975","7,386","5,054","2,833"
"Upson County, GA","10,554","9,409","7,506","5,262"
"Walker County, GA","10,575","9,503","7,962","5,537"
"Walton County, GA","11,932","9,069","7,100","4,108"
"Ware County, GA","9,712","9,029","7,276","5,199"
"Warren County, GA","7,864","7,133","6,729","2,594"
"Washington County, GA","9,917","8,149","5,530","3,194"
"Wayne County, GA","9,856","9,087","6,637","4,132"
"Webster County, GA","9,202","7,527","4,664","1,864"
"Wheeler County, GA","9,522","6,458","4,929","2,927"
"White County, GA","11,277","9,471","6,659","3,351"
"Whitfield County, GA","13,324","11,024","8,573","5,529"
"Wilcox County, GA","8,733","7,406","5,309","2,719"
"Wilkes County, GA","10,752","8,792","6,411","3,983"
"Wilkinson County, GA","10,415","8,724","5,728","3,834"
"Worth County, GA","9,469","8,179","5,265","2,555"
,,,,
Hawaii,"$15,770.00","$12,970.00","$10,616.00","$7,311.00"
"Hawaii County, HI","13,169","10,982","9,228","5,490"
"Honolulu County, HI","16,256","13,258","10,949","7,750"
"Kalawao County, HI","11,281",(NA),(NA),"6,581"
"Kauai County, HI","14,254","11,767","8,907","5,855"
"Maui County, HI","15,616","13,097","9,064","5,737"
,,,,
Idaho,"$11,457.00","$10,470.00","$8,321.00","$6,310.00"
"Ada County, ID","14,268","12,983","9,866","7,428"
"Adams County, ID","13,732","9,841","8,598","5,976"
"Bannock County, ID","10,976","11,214","8,409","6,636"
"Bear Lake County, ID","8,989","9,119","7,179","5,847"
"Benewah County, ID","9,921","10,865","8,664","5,737"
"Bingham County, ID","9,474","8,638","7,566","5,305"
"Blaine County, ID","19,979","13,392","10,540","6,455"
"Boise County, ID","11,747","10,570","7,459","5,831"
"Bonner County, ID","10,527","8,906","7,704","5,619"
"Bonneville County, ID","12,123","11,006","9,177","7,259"
"Boundary County, ID","9,054","8,308","7,799","5,423"
"Butte County, ID","10,257","9,189","7,578","6,333"
"Camas County, ID","11,373","9,821","10,373","6,098"
"Canyon County, ID","9,916","9,654","7,815","5,764"
"Caribou County, ID","10,808","9,716","7,830","6,247"
"Cassia County, ID","9,726","8,789","7,421","5,588"
"Clark County, ID","10,608","7,693","7,525","4,603"
"Clearwater County, ID","11,234","11,080","9,234","6,122"
"Custer County, ID","11,607","8,776","7,264","5,376"
"Elmore County, ID","9,981","8,921","7,261","5,917"
"Franklin County, ID","8,532","7,995","5,910","4,917"
"Fremont County, ID","8,674","7,916","7,409","5,301"
"Gem County, ID","10,450","9,721","7,195","5,396"
"Gooding County, ID","9,625","8,970","7,925","5,761"
"Idaho County, ID","10,527","9,841","7,944","5,827"
"Jefferson County, ID","9,055","7,670","6,631","5,113"
"Jerome County, ID","9,727","9,447","6,817","5,082"
"Kootenai County, ID","12,330","10,634","8,513","6,392"
"Latah County, ID","10,892","10,793","8,340","6,745"
"Lemhi County, ID","10,624","9,325","7,755","5,278"
"Lewis County, ID","9,780","9,689","9,926","7,589"
"Lincoln County, ID","9,339","8,132","6,634","5,729"
"Madison County, ID","7,385","6,867","6,896","6,074"
"Minidoka County, ID","10,110","8,995","7,094","5,282"
"Nez Perce County, ID","12,476","11,713","9,007","7,083"
"Oneida County, ID","8,824","7,294","7,059","6,165"
"Owyhee County, ID","9,786","7,334","5,596","5,325"
"Payette County, ID","9,400","8,502","7,374","5,447"
"Power County, ID","9,951","10,005","8,136","7,978"
"Shoshone County, ID","10,373","10,944","8,778","7,079"
"Teton County, ID","8,983","7,200","6,017","4,018"
"Twin Falls County, ID","11,096","10,733","8,271","6,455"
"Valley County, ID","12,344","11,085","9,114","6,985"
"Washington County, ID","9,088","8,566","6,864","5,321"
,,,,
Illinois,"$15,201.00","$13,513.00","$10,999.00","$8,562.00"
"Adams County, IL","11,601","11,172","8,850","6,553"
"Alexander County, IL","8,846","8,357","6,288","4,721"
"Bond County, IL","10,407","10,684","8,044","5,176"
"Boone County, IL","14,355","12,660","10,512","7,067"
"Brown County, IL","8,894","9,560","7,053","4,438"
"Bureau County, IL","11,915","12,413","9,089","6,471"
"Calhoun County, IL","9,815","9,394","7,261","5,615"
"Carroll County, IL","12,358","11,369","8,872","6,071"
"Cass County, IL","10,850","11,410","8,016","5,894"
"Champaign County, IL","13,130","12,242","10,115","7,515"
"Christian County, IL","11,676","11,701","8,274","6,483"
"Clark County, IL","11,176","11,152","8,491","5,407"
"Clay County, IL","9,590","9,370","8,032","5,639"
"Clinton County, IL","11,422","10,488","7,556","5,341"
"Coles County, IL","11,315","11,204","8,825","6,694"
"Cook County, IL","15,697","13,789","11,868","9,669"
"Crawford County, IL","11,768","11,763","9,215","6,789"
"Cumberland County, IL","10,486","10,346","8,114","5,082"
"DeKalb County, IL","12,657","12,088","9,690","7,311"
"De Witt County, IL","12,833","12,614","9,841","6,294"
"Douglas County, IL","11,461","12,395","9,306","6,400"
"DuPage County, IL","21,155","17,534","13,401","10,414"
"Edgar County, IL","11,190","10,992","8,604","5,764"
"Edwards County, IL","10,713","10,538","7,789","4,925"
"Effingham County, IL","11,977","11,631","7,623","5,666"
"Fayette County, IL","10,496","10,128","7,541","5,274"
"Ford County, IL","11,895","12,618","9,272","6,341"
"Franklin County, IL","10,204","10,698","7,396","5,709"
"Fulton County, IL","10,720","11,482","8,582","6,745"
"Gallatin County, IL","10,367","9,374","6,851","3,857"
"Greene County, IL","9,884","9,587","7,459","5,297"
"Grundy County, IL","14,474","13,588","10,361","7,283"
"Hamilton County, IL","9,984","9,531","6,644","4,662"
"Hancock County, IL","11,358","10,900","8,069","5,372"
"Hardin County, IL","8,314","8,338","6,468","4,415"
"Henderson County, IL","10,638","11,123","8,003","5,152"
"Henry County, IL","12,260","12,544","9,527","6,322"
"Iroquois County, IL","11,653","11,783","8,693","6,180"
"Jackson County, IL","10,003","10,128","7,984","6,231"
"Jasper County, IL","10,298","10,674","8,158","4,689"
"Jefferson County, IL","11,279","11,631","8,073","6,059"
"Jersey County, IL","11,132","10,987","7,720","5,874"
"Jo Daviess County, IL","12,497","11,261","8,076","5,396"
"Johnson County, IL","9,170","8,789","6,914","4,297"
"Kane County, IL","15,890","14,188","11,283","8,609"
"Kankakee County, IL","12,142","11,415","9,127","6,290"
"Kendall County, IL","16,115","14,226","10,867","7,397"
"Knox County, IL","11,973","12,299","9,829","7,169"
"Lake County, IL","21,765","16,929","13,152","10,175"
"La Salle County, IL","12,337","12,759","9,319","7,617"
"Lawrence County, IL","10,120","10,763","7,733","6,074"
"Lee County, IL","12,050","12,162","8,390","6,016"
"Livingston County, IL","12,124","12,665","9,152","6,455"
"Logan County, IL","11,576","12,003","8,812","5,796"
"McDonough County, IL","10,089","10,381","8,066","6,133"
"McHenry County, IL","17,271","14,480","11,336","8,445"
"McLean County, IL","14,138","13,060","10,033","7,413"
"Macon County, IL","13,762","13,226","10,543","7,758"
"Macoupin County, IL","11,365","10,877","8,019","5,831"
"Madison County, IL","13,272","12,221","9,788","7,597"
"Marion County, IL","11,500","11,068","8,243","6,251"
"Marshall County, IL","12,109","12,296","9,171","5,965"
"Mason County, IL","11,036","11,793","9,618","6,388"
"Massac County, IL","10,136","10,416","7,471","5,164"
"Menard County, IL","12,954","12,457","8,752","6,863"
"Mercer County, IL","12,058","11,770","8,145","5,725"
"Monroe County, IL","13,886","12,819","8,626","6,373"
"Montgomery County, IL","10,724","11,199","7,969","5,937"
"Morgan County, IL","12,372","12,197","9,032","6,259"
"Moultrie County, IL","11,840","11,626","8,888","5,894"
"Ogle County, IL","12,880","12,351","9,473","6,636"
"Peoria County, IL","13,924","13,980","10,864","8,178"
"Perry County, IL","10,751","12,050","7,868","5,965"
"Piatt County, IL","13,690","13,218","9,885","6,439"
"Pike County, IL","10,200","10,186","7,808","5,329"
"Pope County, IL","8,977","8,496","6,005","3,830"
"Pulaski County, IL","8,479","7,847","5,445","3,767"
"Putnam County, IL","13,672","13,027","8,740","6,145"
"Randolph County, IL","11,155","11,110","8,211","5,337"
"Richland County, IL","11,692","11,378","7,440","6,051"
"Rock Island County, IL","13,214","13,798","10,578","8,213"
"St. Clair County, IL","11,916","10,813","8,869","6,973"
"Saline County, IL","10,066","10,743","7,670","5,148"
"Sangamon County, IL","14,947","13,705","10,776","8,123"
"Schuyler County, IL","10,080","10,667","8,431","5,141"
"Scott County, IL","10,505","10,776","7,802","5,376"
"Shelby County, IL","11,608","11,178","7,890","5,345"
"Stark County, IL","11,241","11,857","8,806","5,262"
"Stephenson County, IL","13,156","12,432","9,476","6,985"
"Tazewell County, IL","13,681","13,803","10,392","7,558"
"Union County, IL","10,180","10,706","7,874","4,980"
"Vermilion County, IL","11,771","11,646","9,668","6,847"
"Wabash County, IL","12,072","12,365","8,667","6,694"
"Warren County, IL","10,591","11,607","8,488","6,286"
"Washington County, IL","11,539","11,073","8,560","5,623"
"Wayne County, IL","10,139","10,558","7,578","5,474"
"White County, IL","11,332","11,582","7,931","5,572"
"Whiteside County, IL","12,245","12,896","9,180","6,506"
"Will County, IL","15,186","13,394","10,660","7,801"
"Williamson County, IL","11,254","10,914","8,051","5,988"
"Winnebago County, IL","14,516","13,296","10,763","8,272"
"Woodford County, IL","13,516","13,028","9,542","6,514"
,,,,
Indiana,"$13,149.00","$11,968.00","$9,662.00","$7,189.00"
"Adams County, IN","11,655","10,823","8,988","6,400"
"Allen County, IN","14,631","13,013","10,524","8,040"
"Bartholomew County, IN","14,216","13,317","9,996","7,479"
"Benton County, IN","12,024","11,572","9,772","5,898"
"Blackford County, IN","11,151","10,317","8,809","6,569"
"Boone County, IN","16,674","13,456","9,929","6,761"
"Brown County, IN","13,048","11,210","7,925","5,447"
"Carroll County, IN","12,165","11,690","9,231","6,004"
"Cass County, IN","11,860","11,782","9,092","6,565"
"Clark County, IN","12,068","10,979","9,429","6,561"
"Clay County, IN","10,538","10,419","8,425","6,153"
"Clinton County, IN","11,849","11,663","8,960","6,353"
"Crawford County, IN","8,837","8,571","6,987","4,112"
"Daviess County, IN","10,176","9,325","7,915","5,498"
"Dearborn County, IN","12,542","11,004","8,151","6,522"
"Decatur County, IN","11,930","10,076","8,091","5,627"
"De Kalb County, IN","12,665","11,328","8,749","6,871"
"Delaware County, IN","12,168","11,254","9,394","7,236"
"Dubois County, IN","12,942","11,606","8,154","5,439"
"Elkhart County, IN","13,825","12,102","11,066","8,170"
"Fayette County, IN","11,577","10,175","9,067","6,118"
"Floyd County, IN","13,203","11,467","9,328","6,471"
"Fountain County, IN","11,470","10,900","8,195","6,035"
"Franklin County, IN","11,295","9,647","7,446","4,689"
"Fulton County, IN","11,164","11,256","8,866","6,263"
"Gibson County, IN","11,615","11,629","8,101","5,953"
"Grant County, IN","12,308","11,232","9,215","7,008"
"Greene County, IN","10,798","10,083","8,283","5,596"
"Hamilton County, IN","20,426","15,795","10,874","8,142"
"Hancock County, IN","15,059","12,750","10,074","6,946"
"Harrison County, IN","11,159","10,101","7,830","5,105"
"Hendricks County, IN","15,526","13,280","10,379","7,471"
"Henry County, IN","11,914","10,726","9,265","6,569"
"Howard County, IN","14,346","12,829","10,137","7,636"
"Huntington County, IN","12,509","11,334","9,385","6,647"
"Jackson County, IN","11,562","10,461","9,042","6,145"
"Jasper County, IN","11,256","11,487","8,101","5,553"
"Jay County, IN","10,331","9,928","8,589","6,694"
"Jefferson County, IN","11,631","10,138","8,088","5,466"
"Jennings County, IN","10,333","9,722","7,276","4,893"
"Johnson County, IN","14,992","12,601","9,527","7,004"
"Knox County, IN","11,077","10,332","7,972","6,259"
"Kosciusko County, IN","13,323","11,502","9,555","6,694"
"Lagrange County, IN","10,011","9,447","8,038","5,431"
"Lake County, IN","12,663","12,945","9,885","7,695"
"La Porte County, IN","12,973","12,197","10,049","7,307"
"Lawrence County, IN","11,492","10,560","8,595","5,925"
"Madison County, IN","12,811","12,000","10,162","7,817"
"Marion County, IN","14,614","12,864","10,968","8,582"
"Marshall County, IN","12,428","11,235","9,376","6,251"
"Martin County, IN","10,177","9,010","7,342","4,779"
"Miami County, IN","10,862","10,426","8,205","6,216"
"Monroe County, IN","12,017","10,562","9,029","6,863"
"Montgomery County, IN","12,419","11,676","9,316","7,052"
"Morgan County, IN","13,068","11,760","9,014","6,408"
"Newton County, IN","11,925","11,210","8,507","6,082"
"Noble County, IN","11,772","10,448","8,841","6,294"
"Ohio County, IN","10,786","10,488","7,849","5,553"
"Orange County, IN","9,222","8,911","7,292","4,807"
"Owen County, IN","10,572","9,667","7,638","5,219"
"Parke County, IN","11,058","10,342","7,563","5,847"
"Perry County, IN","10,567","9,922","7,393","5,227"
"Pike County, IN","10,934","10,951","7,884","5,572"
"Porter County, IN","15,059","14,175","10,606","7,821"
"Posey County, IN","12,879","11,602","7,830","5,596"
"Pulaski County, IN","11,107","10,617","8,016","5,388"
"Putnam County, IN","11,154","10,862","8,689","6,200"
"Randolph County, IN","11,241","10,304","8,954","6,290"
"Ripley County, IN","11,563","9,617","7,745","5,239"
"Rush County, IN","10,869","10,086","8,022","5,623"
"St. Joseph County, IN","13,277","12,269","10,121","8,080"
"Scott County, IN","9,766","9,065","7,859","5,262"
"Shelby County, IN","12,935","11,606","9,209","6,800"
"Spencer County, IN","11,462","10,466","7,248","4,893"
"Starke County, IN","9,980","9,452","7,601","5,192"
"Steuben County, IN","12,399","11,450","9,073","6,259"
"Sullivan County, IN","10,668","10,562","8,066","5,666"
"Switzerland County, IN","10,201","8,707","7,925","5,074"
"Tippecanoe County, IN","12,570","11,611","9,766","7,511"
"Tipton County, IN","13,669","12,601","9,180","6,549"
"Union County, IN","10,700","9,892","9,250","5,619"
"Vanderburgh County, IN","13,434","12,534","9,231","6,883"
"Vermillion County, IN","11,217","10,307","8,523","5,843"
"Vigo County, IN","11,973","11,178","9,067","6,840"
"Wabash County, IN","11,511","11,264","9,322","6,781"
"Warren County, IN","10,911","11,059","7,944","5,439"
"Warrick County, IN","14,037","12,601","8,466","5,568"
"Washington County, IN","10,187","9,144","7,799","5,050"
"Wayne County, IN","11,535","10,912","9,586","6,796"
"Wells County, IN","12,765","12,055","9,819","6,773"
"White County, IN","12,111","11,421","9,180","6,294"
"Whitley County, IN","12,605","11,383","9,073","6,545"
,,,,
Iowa,"$12,422.00","$11,958.00","$9,077.00","$6,467.00"
"Adair County, IA","10,565","9,964","9,171","4,823"
"Adams County, IA","10,110","9,714","7,582","4,787"
"Allamakee County, IA","10,232","8,905","6,940","4,077"
"Appanoose County, IA","9,748","9,188","7,610","4,866"
"Audubon County, IA","11,210","10,334","7,481","4,831"
"Benton County, IA","11,373","11,512","8,737","5,815"
"Black Hawk County, IA","12,321","12,961","9,404","7,715"
"Boone County, IA","12,031","11,879","8,815","5,972"
"Bremer County, IA","11,626","11,703","8,976","6,157"
"Buchanan County, IA","10,925","10,503","7,695","4,987"
"Buena Vista County, IA","11,423","12,355","9,202","5,882"
"Butler County, IA","10,803","10,651","8,060","5,301"
"Calhoun County, IA","11,405","11,639","8,356","5,655"
"Carroll County, IA","11,301","11,183","7,481","5,529"
"Cass County, IA","11,059","11,150","8,586","5,870"
"Cedar County, IA","12,113","11,757","9,240","5,368"
"Cerro Gordo County, IA","12,304","12,351","9,322","7,048"
"Cherokee County, IA","10,909","12,058","8,545","4,984"
"Chickasaw County, IA","10,919","10,200","7,172","5,184"
"Clarke County, IA","11,380","9,607","8,507","5,470"
"Clay County, IA","12,314","12,517","9,410","6,169"
"Clayton County, IA","9,813","9,845","7,110","4,630"
"Clinton County, IA","11,795","12,023","9,331","6,773"
"Crawford County, IA","10,056","10,783","7,767","5,407"
"Dallas County, IA","13,364","12,573","9,272","6,475"
"Davis County, IA","9,965","9,791","7,877","4,842"
"Decatur County, IA","8,918","8,390","6,238","4,285"
"Delaware County, IA","11,515","9,989","7,355","4,379"
"Des Moines County, IA","12,246","12,564","9,766","7,464"
"Dickinson County, IA","13,639","12,301","8,551","5,525"
"Dubuque County, IA","12,331","11,835","8,463","6,522"
"Emmet County, IA","10,402","11,433","8,051","5,788"
"Fayette County, IA","10,226","10,552","7,698","5,423"
"Floyd County, IA","11,307","11,120","8,441","6,381"
"Franklin County, IA","11,691","11,344","8,384","5,921"
"Fremont County, IA","10,674","10,337","8,444","5,470"
"Greene County, IA","11,164","11,433","9,621","5,784"
"Grundy County, IA","12,898","12,722","9,287","5,537"
"Guthrie County, IA","11,201","10,372","7,723","4,713"
"Hamilton County, IA","11,879","11,911","8,948","6,125"
"Hancock County, IA","11,064","11,358","7,925","4,913"
"Hardin County, IA","11,356","11,507","9,228","6,102"
"Harrison County, IA","10,411","10,036","7,899","5,297"
"Henry County, IA","11,355","11,209","8,998","5,772"
"Howard County, IA","9,960","10,721","8,378","4,466"
"Humboldt County, IA","12,167","12,043","8,290","6,420"
"Ida County, IA","10,993","11,334","10,106","5,243"
"Iowa County, IA","12,139","11,671","7,808","5,223"
"Jackson County, IA","10,467","10,579","8,167","5,474"
"Jasper County, IA","12,872","11,897","9,486","7,059"
"Jefferson County, IA","11,664","10,364","8,822","5,914"
"Johnson County, IA","14,113","12,780","9,464","6,883"
"Jones County, IA","10,403","10,468","7,840","5,651"
"Keokuk County, IA","10,427","10,413","7,726","5,038"
"Kossuth County, IA","11,247","10,966","7,685","4,862"
"Lee County, IA","11,488","11,817","8,960","6,789"
"Linn County, IA","14,902","13,563","10,096","8,146"
"Louisa County, IA","11,226","11,070","8,390","5,525"
"Lucas County, IA","11,048","9,969","7,981","5,592"
"Lyon County, IA","9,871","10,475","7,780","4,399"
"Madison County, IA","11,620","10,647","8,343","5,192"
"Mahaska County, IA","10,819","10,589","7,956","5,847"
"Marion County, IA","11,945","10,981","8,425","5,815"
"Marshall County, IA","13,231","12,638","9,741","7,157"
"Mills County, IA","11,140","10,840","9,848","4,532"
"Mitchell County, IA","11,035","11,530","7,783","5,172"
"Monona County, IA","10,584","10,331","8,192","5,093"
"Monroe County, IA","10,046","10,106","7,396","4,972"
"Montgomery County, IA","11,595","11,390","9,275","5,631"
"Muscatine County, IA","12,802","12,296","9,398","6,800"
"O'Brien County, IA","10,842","11,291","7,714","5,447"
"Osceola County, IA","11,508","11,180","8,176","4,677"
"Page County, IA","11,122","10,703","8,535","5,647"
"Palo Alto County, IA","10,749","10,766","8,239","4,466"
"Plymouth County, IA","11,507","11,250","7,531","4,960"
"Pocahontas County, IA","11,531","11,609","8,139","5,297"
"Polk County, IA","15,365","13,916","10,836","8,496"
"Pottawattamie County, IA","11,734","11,396","8,885","6,647"
"Poweshiek County, IA","12,066","10,924","9,942","5,509"
"Ringgold County, IA","9,773","8,911","8,041","3,889"
"Sac County, IA","10,852","11,277","9,048","5,560"
"Scott County, IA","13,625","13,784","10,367","8,005"
"Shelby County, IA","10,720","10,602","7,824","4,732"
"Sioux County, IA","10,411","10,240","7,006","4,662"
"Story County, IA","11,958","11,715","9,656","7,185"
"Tama County, IA","11,362","10,716","8,158","5,160"
"Taylor County, IA","8,834","9,334","7,169","4,195"
"Union County, IA","10,247","10,429","7,645","5,396"
"Van Buren County, IA","9,348","8,640","6,766","4,477"
"Wapello County, IA","11,055","11,505","8,608","6,804"
"Warren County, IA","12,732","11,788","8,932","5,992"
"Washington County, IA","11,387","11,111","9,105","5,541"
"Wayne County, IA","9,225","9,149","7,427","4,736"
"Webster County, IA","11,358","12,005","9,039","7,063"
"Winnebago County, IA","10,775","11,081","8,850","5,976"
"Winneshiek County, IA","10,503","9,521","7,988","4,795"
"Woodbury County, IA","12,218","11,591","9,073","7,216"
"Worth County, IA","11,443","11,954","9,199","5,415"
"Wright County, IA","11,969","12,088","9,759","6,216"
,,,,
Kansas,"$13,300.00","$12,316.00","$9,218.00","$6,965.00"
"Allen County, KS","9,889","10,426","7,465","5,611"
"Anderson County, KS","10,190","9,768","7,003","5,070"
"Atchison County, KS","10,144","9,903","7,390","5,953"
"Barber County, KS","10,664","12,755","9,508","6,710"
"Barton County, KS","11,394","12,093","8,982","7,087"
"Bourbon County, KS","9,958","10,520","8,230","5,604"
"Brown County, KS","10,299","9,984","7,578","5,137"
"Butler County, KS","13,260","12,494","8,419","6,898"
"Chase County, KS","10,258","10,610","7,330","5,078"
"Chautauqua County, KS","9,043","10,180","7,314","5,584"
"Cherokee County, KS","9,705","9,456","7,065","5,443"
"Cheyenne County, KS","11,165","11,227","7,453","5,945"
"Clark County, KS","11,804","12,077","9,980","6,169"
"Clay County, KS","11,431","10,243","8,132","6,019"
"Cloud County, KS","10,853","9,585","7,824","5,607"
"Coffey County, KS","11,451","10,909","7,333","5,148"
"Comanche County, KS","10,587","11,532","9,561","5,764"
"Cowley County, KS","11,624","11,678","8,268","6,388"
"Crawford County, KS","10,507","9,908","7,538","5,827"
"Decatur County, KS","10,609","11,195","7,651","5,521"
"Dickinson County, KS","11,407","10,625","8,180","6,157"
"Doniphan County, KS","9,465","9,337","7,427","5,019"
"Douglas County, KS","12,003","10,847","9,045","6,561"
"Edwards County, KS","11,895","10,677","8,425","5,753"
"Elk County, KS","10,390","9,141","7,311","5,384"
"Ellis County, KS","11,459","11,064","7,774","5,910"
"Ellsworth County, KS","9,801","9,824","7,273","5,717"
"Finney County, KS","11,278","11,953","8,582","6,749"
"Ford County, KS","11,114","11,740","8,796","6,573"
"Franklin County, KS","11,483","11,132","8,082","5,635"
"Geary County, KS","9,996","9,965","8,403","6,071"
"Gove County, KS","10,859","9,831","7,871","5,505"
"Graham County, KS","11,472","10,857","8,010","6,993"
"Grant County, KS","10,757","11,978","8,711","7,479"
"Gray County, KS","11,669","11,292","9,180","5,490"
"Greeley County, KS","11,641","11,369","8,016","6,926"
"Greenwood County, KS","10,694","10,237","7,689","6,530"
"Hamilton County, KS","12,366","10,438","8,192","7,185"
"Harper County, KS","10,717","11,314","8,752","6,726"
"Harvey County, KS","12,725","11,743","8,856","6,455"
"Haskell County, KS","10,990","10,780","8,652","7,071"
"Hodgeman County, KS","10,347","11,478","10,115","5,368"
"Jackson County, KS","10,891","10,337","8,217","5,348"
"Jefferson County, KS","12,267","11,118","8,158","5,662"
"Jewell County, KS","9,698","9,379","8,142","4,987"
"Johnson County, KS","20,592","17,896","13,980","11,466"
"Kearny County, KS","11,412","11,420","7,928","7,075"
"Kingman County, KS","10,676","11,207","7,358","6,051"
"Kiowa County, KS","10,607","11,509","9,246","6,467"
"Labette County, KS","10,815","10,012","7,670","5,380"
"Lane County, KS","12,159","11,436","9,561","5,933"
"Leavenworth County, KS","12,822","11,130","8,519","6,004"
"Lincoln County, KS","9,668","9,965","7,311","4,972"
"Linn County, KS","11,001","9,935","7,604","5,266"
"Logan County, KS","10,878","10,543","7,752","6,871"
"Lyon County, KS","11,251","11,661","8,246","6,184"
"McPherson County, KS","11,970","11,684","8,737","6,412"
"Marion County, KS","10,428","10,359","7,371","6,396"
"Marshall County, KS","10,166","10,786","8,164","5,631"
"Meade County, KS","10,887","10,223","9,391","6,008"
"Miami County, KS","12,563","11,688","8,183","5,776"
"Mitchell County, KS","10,465","10,287","7,720","5,419"
"Montgomery County, KS","10,837","11,038","7,994","6,180"
"Morris County, KS","11,451","10,382","8,680","5,035"
"Morton County, KS","12,669","11,554","9,967","7,511"
"Nemaha County, KS","10,738","9,525","6,965","4,968"
"Neosho County, KS","10,402","10,885","7,742","5,635"
"Ness County, KS","11,034","11,455","6,637","6,063"
"Norton County, KS","10,912","10,443","8,132","6,016"
"Osage County, KS","10,823","10,721","7,714","5,054"
"Osborne County, KS","9,913","9,600","8,271","5,356"
"Ottawa County, KS","10,358","9,920","7,654","5,568"
"Pawnee County, KS","12,531","11,346","8,803","6,122"
"Phillips County, KS","10,270","10,253","7,723","5,419"
"Pottawatomie County, KS","10,984","10,297","7,789","5,286"
"Pratt County, KS","12,488","12,035","9,262","6,851"
"Rawlins County, KS","10,468","10,210","6,590","6,184"
"Reno County, KS","12,074","11,921","8,853","7,087"
"Republic County, KS","10,890","9,897","8,139","4,619"
"Rice County, KS","10,139","11,574","8,032","6,282"
"Riley County, KS","10,067","9,605","7,969","6,412"
"Rooks County, KS","10,223","10,533","7,377","5,761"
"Rush County, KS","10,516","10,274","7,509","7,177"
"Russell County, KS","11,338","12,524","8,774","7,044"
"Saline County, KS","13,153","12,427","8,579","7,161"
"Scott County, KS","11,332","11,633","8,784","6,463"
"Sedgwick County, KS","14,555","13,674","10,055","8,009"
"Seward County, KS","11,341","13,077","9,108","7,322"
"Shawnee County, KS","14,091","13,167","9,889","7,872"
"Sheridan County, KS","9,889","9,344","5,973","4,842"
"Sherman County, KS","10,356","10,982","8,548","7,103"
"Smith County, KS","9,574","8,960","8,091","5,074"
"Stafford County, KS","10,496","10,853","9,731","6,129"
