Year,County,Income,Distance ,Ddummy
1979,"Sacramento County, CA","13,322",113,1
1979,"San Benito County, CA","10,403",95,1
1979,"San Bernardino County, CA","11,881",356,0
1979,"San Diego County, CA","13,338",469,0
1979,"San Francisco County, CA","15,525",39,1
1979,"San Joaquin County, CA","11,757",78,1
1979,"San Luis Obispo County, CA","11,810",201,1
1979,"San Mateo County, CA","17,873",39,1
1979,"Santa Barbara County, CA","14,076",289,0
1979,"Santa Clara County, CA","15,949",11,1
1979,"Santa Cruz County, CA","13,736",33,1
1979,"Shasta County, CA","11,380",283,0
1979,"Sierra County, CA","11,931",238,0
1979,"Siskiyou County, CA","10,951",348,0
1979,"Solano County, CA","12,412",89,1
1979,"Sonoma County, CA","13,551",130,1
1979,"Stanislaus County, CA","11,887",88,1
1979,"Sutter County, CA","11,911",139,1
1979,"Tehama County, CA","10,284",213,0
1979,"Trinity County, CA","10,548",298,0
1979,"Tulare County, CA","10,118",238,0
1979,"Tuolumne County, CA","11,302",158,1
1979,"Ventura County, CA","13,431",158,1
1979,"Yolo County, CA","12,194",117,1
1979,"Yuba County, CA","9,282",169,1
1989,"Alameda County, CA","17,547",40,1
1989,"Alpine County, CA","13,799",198,1
1989,"Amador County, CA","14,282",119,1
1989,"Butte County, CA","12,083",116,1
1989,"Calaveras County, CA","13,497",115,1
1989,"Colusa County, CA","12,402",150,1
1989,"Contra Costa County, CA","20,748",53,1
1989,"Del Norte County, CA","10,625",421,0
1989,"El Dorado County, CA","15,703",198,1
1989,"Fresno County, CA","11,824",198,1
1989,"Glenn County, CA","10,677",189,1
1989,"Humboldt County, CA","12,436",340,0
1989,"Imperial County, CA","9,208",551,0
1989,"Inyo County, CA","13,397",435,0
1989,"Kern County, CA","12,154",265,0
1989,"Kings County, CA","10,035",180,1
1989,"Lake County, CA","11,705",180,1
1989,"Lassen County, CA","12,626",341,0
1989,"Los Angeles County, CA","16,149",351,0
1989,"Madera County, CA","10,856",169,1
1989,"Marin County, CA","28,381",76,1
1989,"Mariposa County, CA","13,074",158,1
1989,"Mendocino County, CA","12,776",209,0
1989,"Merced County, CA","10,606",111,1
1989,"Modoc County, CA","10,971",385,0
1989,"Mono County, CA","16,120",309,0
1989,"Monterey County, CA","14,578",104,1
1989,"Napa County, CA","17,640",97,1
1989,"Nevada County, CA","15,760",117,1
1989,"Orange County, CA","19,890",385,0
